cluster,term,count
0,och,364
0,None,219
0,Tillverkar,151
0,m.,134
0,samt,129
0,för,108
0,i,80
0,Byggnadsentreprenörfirma,66
0,av,63
0,dräneringsrör,58
1,None,585
1,Tillverkar,211
1,och,198
1,Se,60
1,i,58
1,AB.,50
1,av,50
1,vid,45
1,m.,41
1,för,39
2,och,592
2,Tillverkar,409
2,None,296
2,samt,145
2,m.,136
2,av,85
2,för,76
2,läskedrycker,73
2,i,65
2,fabrik,65
3,och,439
3,Tillverkar,187
3,None,146
3,samt,128
3,av,86
3,m.,84
3,i,64
3,för,58
3,färgeri,33
3,väveri,24
4,None,538
4,N/A,3
4,Okänd,2
4,unspecified,1
4,AB,1
4,xxx,1
4,Undefined,1
4,unknown,1
4,Okänt,1
4,Slakteri,1
5,och,380
5,None,163
5,Tillverkar,109
5,samt,99
5,m.,70
5,för,66
5,av,50
5,Utför,50
5,i,31
5,med,23
6,och,1531
6,Tillverkar,648
6,None,507
6,samt,492
6,m.,395
6,för,390
6,av,243
6,verkstad,240
6,i,184
6,Mek.,177
7,och,657
7,Tillverkar,253
7,None,228
7,samt,207
7,sågade,163
7,hyvlade,153
7,i,100
7,hyvleri,95
7,trävaror,94
7,av,82
8,Tillverkar,295
8,och,283
8,None,250
8,möbler,106
8,i,88
8,samt,82
8,m.,65
8,vid,61
8,fabrik,46
8,av,45
9,och,491
9,Tillverkar,429
9,None,313
9,samt,137
9,m.,125
9,i,88
9,av,78
9,Varumärke:,58
9,herr-,51
9,Tillverkning,44
